state,date,fossil,geo,hydro,nuclear,secondary,solar,wind,population,all sectors,commercial,industrial,residential
LA,2013-04-01,5828109.913,0.0,98491.0,1421379.0,261928.93,0.0,0.0,4574833,7.119090909090908,8.227954545454544,5.264772727272727,8.544772727272727
LA,2013-05-01,6430362.183,0.0,126938.0,1511211.0,301282.511,0.0,0.0,4575870,7.38,8.423636363636362,5.404545454545454,9.038636363636362
LA,2013-06-01,7532570.705,0.0,126869.0,1414458.0,256990.814,0.0,0.0,4576906,7.668863636363636,8.367727272727272,5.693409090909091,9.038636363636362
LA,2013-07-01,7836962.476,0.0,124777.0,1581768.0,283005.266,0.0,0.0,4577943,7.883181818181819,8.460909090909091,5.8145454545454545,9.113181818181816
LA,2013-08-01,7959412.546,0.0,89360.0,1574207.0,277798.581,0.0,0.0,4578979,7.8925,8.451590909090909,5.8145454545454545,9.094545454545454
LA,2013-09-01,7316756.041,0.0,38779.0,1519085.0,300549.446,0.0,0.0,4580016,7.724772727272726,8.3025,5.637499999999999,9.057272727272727
LA,2013-10-01,5896306.693,0.0,33812.0,1578936.0,336819.402,0.0,0.0,4581052,7.6036363636363635,8.34909090909091,5.516363636363636,9.02
LA,2013-11-01,6105843.286,0.0,37846.0,1553830.0,278437.953,0.0,0.0,4582089,7.184318181818181,8.190681818181817,5.3765909090909085,8.56340909090909
LA,2013-12-01,7060392.828,0.0,70905.0,1599280.0,312480.547,0.0,0.0,4583126,7.100454545454545,8.209318181818182,5.199545454545454,8.162727272727272
MA,2013-01-01,2126110.681,0.0,78342.605,352154.0,145943.888,2836.149,22716.004,6696334,12.672727272727272,12.747272727272726,11.675681818181816,13.371590909090909
MA,2013-02-01,1390169.533,0.0,75391.672,315145.0,134000.895,4463.63,17264.084,6700353,13.520681818181817,13.84681818181818,12.691363636363635,13.912045454545453
MA,2013-03-01,1753188.3,0.0,94002.501,469668.0,176484.046,6759.78,19300.248,6704372,13.343636363636364,13.800227272727273,12.281363636363634,13.828181818181816
MA,2013-04-01,2154605.84,0.0,117628.122,189221.0,168752.708,7282.484,17642.718,6708391,12.849772727272725,12.579545454545453,11.796818181818182,14.033181818181818
MA,2013-05-01,2200450.127,0.0,94711.312,7788.0,170205.008,8214.529,13447.539,6712410,13.054772727272725,12.495681818181817,11.927272727272728,14.741363636363635
MA,2013-06-01,2074536.599,0.0,107242.964,473949.0,161104.934,9571.539,14315.575,6716429,13.604545454545454,13.23181818181818,12.532954545454544,14.834545454545454
